DATE,active_listings_count,median_listing_price
2016-07-01,6971,439888.0
2016-08-01,7437,429925.0
2016-09-01,7326,429474.5
2016-10-01,6873,439000.0
2016-11-01,5542,432425.0
2016-12-01,4320,429950.0
2017-01-01,3646,437497.5
2017-02-01,3262,461495.0
2017-03-01,3417,482027.5
2017-04-01,3720,497750.0
2017-05-01,4409,499875.0
2017-06-01,5268,499975.0
2017-07-01,5891,499900.0
2017-08-01,6296,487500.0
2017-09-01,6380,489950.0
2017-10-01,6066,495000.0
2017-11-01,4950,495000.0
2017-12-01,3646,495000.0
2018-01-01,3020,499000.0
2018-02-01,3062,522475.0
2018-03-01,3428,550000.0
2018-04-01,4069,567444.0
2018-05-01,4960,574975.0
2018-06-01,6144,579800.0
2018-07-01,7524,568762.5
2018-08-01,8492,554500.0
2018-09-01,9595,549950.0
2018-10-01,9788,557000.0
2018-11-01,8718,550000.0
2018-12-01,7162,550000.0
2019-01-01,5776,564400.0
2019-02-01,5701,592495.0
2019-03-01,5861,608231.4286
2019-04-01,6067,627940.0
2019-05-01,7178,629500.0
2019-06-01,7937,619000.0
2019-07-01,7912,604944.0
2019-08-01,8185,599542.8571
2019-09-01,8167,599000.0
2019-10-01,8530,587475.0
2019-11-01,6791,580000.0
2019-12-01,4886,582000.0
2020-01-01,3958,599600.0
2020-02-01,3784,600000.0
2020-03-01,4292,615157.5
2020-04-01,4962,599972.5
2020-05-01,5630,610000.0
2020-06-01,5741,625355.0
2020-07-01,5733,629875.0
2020-08-01,5957,625000.0
2020-09-01,6051,628207.5
2020-10-01,5833,624950.0
2020-11-01,4161,629000.0
2020-12-01,3147,627450.0
2021-01-01,2413,665000.0
2021-02-01,2240,672386.0
2021-03-01,2546,680335.5
2021-04-01,2748,679000.0
2021-05-01,2898,679900.0
2021-06-01,3378,686925.0
2021-07-01,3589,695000.0
2021-08-01,3740,675000.0
