,Coefficient
bedrooms,-32878.696128726435
bathrooms,25568.475799866308
sqft_living,-5.625507697681115e+18
sqft_lot,5799.769476376019
floors,-894.3122547876056
waterfront,50526.918993264524
view,36372.746972549816
condition,21339.764970746895
grade,115739.43097400811
sqft_above,5.087153651281022e+18
sqft_basement,2.697375592267001e+18
yr_built,-74545.4210469357
yr_renovated,6656.710446734951
lat,77616.11793307016
long,-17532.357671228405
sqft_living15,17353.968791381194
sqft_lot15,-9729.251147884106
